title,authors,year,venue,abstract,doi,url,source,source_set,screen_decision,screen_reason
Permissioned Blockchain in Advanced Air Mobility: A Performance Analysis for UTM,Rodrigo Nunes; André Melo; Rafael Albarello; Reinaldo Gomes; Cesar Marcondes; Lourenço Pereira,2025,arXiv,"The integration of Uncrewed Aerial Vehicles (UAVs) into low-altitude airspace has led authorities to adopt distributed Uncrewed Traffic Management (UTM) architectures that ensure interoperability and safety. Blockchain has been proposed as an enabler for trustworthy coordination among UTM stakeholders. Yet, its real-time performance under aeronautical constraints remains insufficiently characterized. This paper presentes a quantitative benchmark comparing two regulation compliant distributed architectures: the federated InterUSS platform maintained by the Linux Foundation and a permissioned blockchain based on Hyperledger Fabric. Both systems were evaluated through Operational Intent Reference (OIR) registration work loads generated via Hyperledger Caliper, measuring throughput, latency, and transaction loss under loads up to 50 transactions per second. Results show that InterUSS sustained sub-second latency and stable performance up to 30 TPS. At the same time, Fabric exhibited exponential degradation with median latency exceeding 3 s and tail latencies above 15 s beyond that point. These findings demonstrate that blockchain-based architectures must be redesigned to meet aeronautical timing and scalability requirements, suggesting that hybrid models combining distributed ledgers for auditability with federated frameworks for real-time coordination are more suitable for future UTM deployments.",10.48550/arXiv.2511.02171v2,http://arxiv.org/abs/2511.02171v2,arxiv,arxiv,INCLUDE,full_criteria_match
Auditable Ledger Snapshot for Non-Repudiable Cross-Blockchain Communication,Tirthankar Sengupta; Bishakh Chandra Ghosh; Sandip Chakraborty; Shamik Sural,2025,arXiv,"Blockchain interoperability is increasingly recognized as the centerpiece for robust interactions among decentralized services. Blockchain ledgers are generally tamper-proof and thus enforce non-repudiation for transactions recorded within the same network. However, such a guarantee does not hold for cross-blockchain transactions. When disruptions occur due to malicious activities or system failures within one blockchain network, foreign networks can take advantage by denying legitimate claims or mounting fraudulent liabilities against the defenseless network. In response, this paper introduces InterSnap, a novel blockchain snapshot archival methodology, for enabling auditability of crossblockchain transactions, enforcing non-repudiation. InterSnap introduces cross-chain transaction receipts that ensure their irrefutability. Snapshots of ledger data along with these receipts are utilized as non-repudiable proof of bilateral agreements among different networks. InterSnap enhances system resilience through a distributed snapshot generation process, need-based snapshot scheduling process, and archival storage and sharing via decentralized platforms. Through a prototype implementation based on Hyperledger Fabric, we conducted experiments using on-premise machines, AWS public cloud instances, as well as a private cloud infrastructure. We establish that InterSnap can recover from malicious attacks while preserving crosschain transaction receipts. Additionally, our proposed solution demonstrates adaptability to increasing loads while securely transferring snapshot archives with minimal overhead.",10.48550/arXiv.2511.16560v1,http://arxiv.org/abs/2511.16560v1,arxiv,arxiv,INCLUDE,tech_strategy_evidence
Q-PnV: A Quantum Consensus Mechanism for Security Consortium Blockchains,Jianming Lin; Hui Li; Hongjian Xing; Runhuai Huang; Weixiang Huang; Shaowen Deng; Yanping Zhang; Weimin Zeng; Ping Lu; Xiyu Wang; Tao Sun; Xiongyan Tang,2024,arXiv,"Due to the rapid development of quantum computing, many classical blockchain technologies are now considered insecure. The emergence of quantum blockchain holds promise for addressing this issue. Various quantum consensus algorithms have been proposed so far, but there has not yet been a quantum consensus algorithm tailored specifically for consortium blockchain scenarios. In this paper, we propose a novel quantum consensus mechanism, named Q-PnV. This consensus mechanism is based on the classical Proof of Vote (PoV), integrating quantum voting, quantum digital signature and quantum random number generators (QRNGs). By combining Q-PnV with a quantum blockchain using weighted hypergraph states, we propose a comprehensive quantum blockchain solution for consortium blockchain scenarios. Compared to the classical method, the quantum blockchain based on Q-PnV can resist quantum attacks and shows significant improvements in security and fairness, making it better suit-ed for the future quantum era.",10.48550/arXiv.2412.06325v1,http://arxiv.org/abs/2412.06325v1,arxiv,arxiv,INCLUDE,full_criteria_match
A Blockchain-Enabled Framework of UAV Coordination for Post-Disaster Networks,Sana Hafeez; Runze Cheng; Lina Mohjazi; Muhammad Ali Imran; Yao Sun,2024,arXiv,"Emergency communication is critical but challenging after natural disasters when ground infrastructure is devastated. Unmanned aerial vehicles (UAVs) offer enormous potential for agile relief coordination in these scenarios. However, effectively leveraging UAV fleets poses additional challenges around security, privacy, and efficient collaboration across response agencies. This paper presents a robust blockchain-enabled framework to address these challenges by integrating a consortium blockchain model, smart contracts, and cryptographic techniques to securely coordinate UAV fleets for disaster response. Specifically, we make two key contributions: a consortium blockchain architecture for secure and private multi-agency coordination; and an optimized consensus protocol balancing efficiency and fault tolerance using a delegated proof of stake practical byzantine fault tolerance (DPoS-PBFT). Comprehensive simulations showcase the framework's ability to enhance transparency, automation, scalability, and cyber-attack resilience for UAV coordination in post-disaster networks.",10.48550/arXiv.2402.15331v1,http://arxiv.org/abs/2402.15331v1,arxiv,arxiv,INCLUDE,full_criteria_match
Blockchain-Enhanced UAV Networks for Post-Disaster Communication: A Decentralized Flocking Approach,Sana Hafeez; Runze Cheng; Lina Mohjazi; Yao Sun; Muhammad Ali Imran,2024,arXiv,"Unmanned Aerial Vehicles (UAVs) have significant potential for agile communication and relief coordination in post-disaster scenarios, particularly when ground infrastructure is compromised. However, efficiently coordinating and securing flocks of heterogeneous UAVs from different service providers poses significant challenges related to privacy, scalability, lightweight consensus protocols, and comprehensive cybersecurity mechanisms. This study introduces a robust blockchain-enabled framework designed to tackle these technical challenges through a combination of consensus protocols, smart contracts, and cryptographic techniques. First, we propose a consortium blockchain architecture that ensures secure and private multi-agency coordination by controlling access and safeguarding the privacy of sensitive data. Second, we develop an optimized hybrid consensus protocol that merges Delegated Proof of Stake and Practical Byzantine Fault Tolerance (DPOS-PBFT), aiming to achieve an effective balance between efficiency, security, and resilience against node failures. Finally, we introduce decentralized flocking algorithms that facilitate adaptable and autonomous operations among specialized UAV clusters, ensuring critical disaster relief functions under conditions of uncertain connectivity. Comprehensive simulations demonstrate the system achieved linear scaling of throughput up to 500 UAV nodes, with only a 50ms increase in latency from 10 to 500 nodes. The framework maintained high throughput and low latency despite spoofing, denial-of-service (DoS), and tampering attacks, showing strong cyber resilience. Communication latencies were kept under 10ms for diverse UAV operations through self-optimizing network intelligence, with median values around 2-3ms.",10.48550/arXiv.2403.04796v1,http://arxiv.org/abs/2403.04796v1,arxiv,arxiv,INCLUDE,full_criteria_match
DBNode: A Decentralized Storage System for Big Data Storage in Consortium Blockchains,Narges Dadkhah; Xuyang Ma; Katinka Wolter; Gerhard Wunder,2024,arXiv,"Storing big data directly on a blockchain poses a substantial burden due to the need to maintain a consistent ledger across all nodes. Numerous studies in decentralized storage systems have been conducted to tackle this particular challenge. Most state-of-the-art research concentrates on developing a general storage system that can accommodate diverse blockchain categories. However, it is essential to recognize the unique attributes of a consortium blockchain, such as data privacy and access control. Beyond ensuring high performance, these specific needs are often overlooked by general storage systems. This paper proposes a decentralized storage system for Hyperledger Fabric, which is a well-known consortium blockchain. First, we employ erasure coding to partition files, subsequently organizing these chunks into a hierarchical structure that fosters efficient and dependable data storage. Second, we design a two-layer hash-slots mechanism and a mirror strategy, enabling high data availability. Third, we design an access control mechanism based on a smart contract to regulate file access.",10.48550/arXiv.2409.20123v1,http://arxiv.org/abs/2409.20123v1,arxiv,arxiv,INCLUDE,full_criteria_match
6GENABLERS-DLT: DLT-based Marketplace for Decentralized Trading of 6G Telco resources,Adriana Fernández-Fernández; Angel Martin; Guillermo Gomez,2024,arXiv,"The 6GENABLERS-DLT project addresses critical challenges in fostering multi-party collaboration within dynamic 6G environments. As operators and service providers increasingly depend on third-party resources to meet their contractual and operational needs, the project introduces an innovative, Distributed Ledger Technology (DLT)-anchored Marketplace designed to streamline decentralized telco resource trading. This 6GENABLERS Marketplace serves as a collaborative platform where operators, resource providers, and service providers can seamlessly discover, advertise, and trade telco assets within a transparent, secure, and efficient permissioned environment. Distinguished from public DLT-Blockchain solutions, the Marketplace's permissioned nature ensures robust governance, privacy, and control, making it particularly suited to enterprise and consortium-based use cases in the Information and Communication Technology (ICT) sector. The adoption of a decentralized architecture eliminates reliance on a central operator, thereby mitigating risks associated with single points of failure and enhancing system trustworthiness, resilience, and fault tolerance. The Marketplace encompasses a wide range of resources integral to 6G networks, including virtualized mobile core components, Radio Access Network (RAN) assets, edge and cloud infrastructure, and vertical applications tailored to specific industry needs. This diversity enables stakeholders to dynamically access and scale resources, fostering operational efficiency and innovation across 6G ecosystems. Through the 6GENABLERS-DLT project, the vision of a collaborative, resource-rich 6G environment becomes a reality, laying the foundation for a next-generation telco ecosystem where decentralization empowers stakeholders to meet the demands of an interconnected, flexible, and scalable future.",10.48550/arXiv.2412.14977v1,http://arxiv.org/abs/2412.14977v1,arxiv,arxiv,INCLUDE,full_criteria_match
SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,Mehrzad Mohammadi; Reza Javan; Mohammad Beheshti-Atashgah; Mohammad Reza Aref,2024,arXiv,"Internet of Things (IoT) devices are capable of allowing for far-reaching access to and evaluation of patient data to monitor health and diagnose from a distance. An electronic healthcare system that checks patient data, prepares medicines and provides financial assistance is necessary. Providing safe data transmission, monitoring, decentralization, preserving patient privacy, and maintaining confidentiality are essential to an electronic healthcare system. In this study, we introduce (SCALHEALTH) which is a blockchain-based scheme of the Hyperledger Fabric consortium. In this study, we use authentication to agree on a common key for data encryption to send data confidentially. Also, sending data through IPFS is decentralized. Non-fungible token (NFT) is used to send patient prescriptions to pharmacies and insurance companies to ensure the authenticity of patient prescriptions. As the system's main body, blockchain creates authorization and validation for all devices and institutions. Also, all metadata in the system is recorded on the blockchain to maintain integrity, transparency, and timely data monitoring. The proposed study uses two types of blockchain: a health blockchain and a financial blockchain. The financial blockchain is for financial transactions and is based on Ethereum. The health blockchain also introduces a mechanism that allows several blockchains to be active in parallel, instead of only one blockchain. The prototype of this mechanism is simulated in two scenarios. In comparison to the normal state, the proposed plan has superior results.",10.48550/arXiv.2403.08068v1,http://arxiv.org/abs/2403.08068v1,arxiv,arxiv,INCLUDE,full_criteria_match
Blockchain in Healthcare: Implementing Hyperledger Fabric for Electronic Health Records at Frere Provincial Hospital,Abayomi Agbeyangi; Olukayode Oki; Aphelele Mgidi,2024,arXiv,"As healthcare systems worldwide continue to grapple with the challenges of interoperability, data security, and accessibility, integrating emerging technologies becomes imperative. This paper investigates the implementation of blockchain technology, specifically Hyperledger Fabric, for Electronic Health Records (EHR) management at Frere Hospital in the Eastern Cape province of South Africa. The paper examines the benefits and challenges of integrating blockchain into healthcare information systems. Hyperledger Fabric's modular architecture is harnessed to create a secure, transparent, and decentralized platform for storing, managing, and sharing EHRs among stakeholders. The study used a mixed-methods approach, integrating case studies and data collection methods through observation and informal questions, with the specific goal of understanding current record management methods and challenges. This method offers practical insights and validates the approach. The result demonstrates the role of blockchain in transforming healthcare, framed within a rigorous exploration and analysis. The findings of this study have broader implications for healthcare institutions seeking advanced solutions to address the persistent challenges in electronic health record management. Ultimately, the research underscores the transformative potential of blockchain technology in healthcare settings, fostering trust, security, and efficiency in the management of sensitive patient data.",10.48550/arXiv.2407.15876v1,http://arxiv.org/abs/2407.15876v1,arxiv,arxiv,INCLUDE,full_criteria_match
Cross-chain Sharing of Personal Health Records: Heterogeneous and Interoperable Blockchains,Yongyang Lv; Xiaohong Li; Yingwenbo Wang; Kui Chen; Zhe Hou; Ruitao Feng,2024,arXiv,"With the widespread adoption of medical informatics, a wealth of valuable personal health records (PHR) has been generated. Concurrently, blockchain technology has enhanced the security of medical institutions. However, these institutions often function as isolated data silos, limiting the potential value of PHRs. As the demand for data sharing between hospitals on different blockchains grows, addressing the challenge of cross-chain data sharing becomes crucial. When sharing PHRs across blockchains, the limited storage and computational capabilities of medical Internet of Things (IoT) devices complicate the storage of large volumes of PHRs and the handling of complex calculations. Additionally, varying blockchain cryptosystems and the risk of internal attacks further complicate the cross-chain sharing of PHRs. This paper proposes a scheme for sharing PHRs across heterogeneous and interoperable blockchains. Medical IoT devices can encrypt and store real-time PHRs in an InterPlanetary File System, requiring only simple operations for data sharing. An enhanced proxy re-encryption(PRE) algorithm addresses the differences in blockchain cryptosystems. Multi-dimensional analysis demonstrates that this scheme offers robust security and excellent performance.",10.48550/arXiv.2410.08762v1,http://arxiv.org/abs/2410.08762v1,arxiv,arxiv;openalex,EXCLUDE,insufficient_relevance
Straggler Mitigation and Latency Optimization in Blockchain-based Hierarchical Federated Learning,Zhilin Wang; Qin Hu; Minghui Xu; Zeihui Xiong,2023,arXiv,"Cloud-edge-device hierarchical federated learning (HFL) has been recently proposed to achieve communication-efficient and privacy-preserving distributed learning. However, there exist several critical challenges, such as the single point of failure and potential stragglers in both edge servers and local devices. To resolve these issues, we propose a decentralized and straggler-tolerant blockchain-based HFL (BHFL) framework. Specifically, a Raft-based consortium blockchain is deployed on edge servers to provide a distributed and trusted computing environment for global model aggregation in BHFL. To mitigate the influence of stragglers on learning, we propose a novel aggregation method, HieAvg, which utilizes the historical weights of stragglers to estimate the missing submissions. Furthermore, we optimize the overall latency of BHFL by jointly considering the constraints of global model convergence and blockchain consensus delay. Theoretical analysis and experimental evaluation show that our proposed BHFL based on HieAvg can converge in the presence of stragglers, which performs better than the traditional methods even when the loss function is non-convex and the data on local devices are non-independent and identically distributed (non-IID).",10.48550/arXiv.2308.01296v1,http://arxiv.org/abs/2308.01296v1,arxiv,arxiv;openalex,INCLUDE,full_criteria_match
EduChain: A Blockchain-based Education Data Management System,Yihan Liu; Ke Li; Zihao Huang; Bowen Li; Guiyan Wang; Wei Cai,2023,arXiv,"The predominant centralized paradigm in educational data management currently suffers from several critical issues such as vulnerability to malicious tampering, a high prevalence of diploma counterfeiting, and the onerous cost of certificate authentication. Decentralized blockchain technology, with its cutting-edge capabilities, presents a viable solution to these pervasive problems. In this paper, we illuminate the inherent limitations of existing centralized systems and introduce EduChain, a novel heterogeneous blockchain-based system for managing educational data. EduChain uniquely harnesses the strengths of both private and consortium blockchains, offering an unprecedented level of security and efficiency. In addition, we propose a robust mechanism for performing database consistency checks and error tracing. This is achieved through the implementation of a secondary consensus, employing the pt-table-checksum tool. This approach effectively addresses the prevalent issue of database mismatches. Our system demonstrates superior performance in key areas such as information verification, error traceback, and data security, thereby significantly improving the integrity and trustworthiness of educational data management. Through EduChain, we offer a powerful solution for future advancements in secure and efficient educational data management.",10.48550/arXiv.2306.00553v1,http://arxiv.org/abs/2306.00553v1,arxiv,arxiv,UNCERTAIN,generic_blockchain_institutional
MIS: A Multi-Identifier Management and Resolution System Based on Consortium Blockchain in Metaverse,Han Wang; Hui Li; Abla Smahi; Feng Zhao; Yao Yao; Ching Chuen Chan; Shiyu Wang; Wenyuan Yang; Shuo-Yen Robert Li,2023,arXiv,"The metaverse gradually evolves into a virtual world containing a series of interconnected sub-metaverses. Diverse digital resources, including identities, contents, services, and supporting data, are key components of the sub-metaverse. Therefore, a Domain Name System (DNS)-like system is necessary for efficient management and resolution. However, the legacy DNS was designed with security vulnerabilities and trust risks due to centralized issues. Blockchain is used to mitigate these concerns due to its decentralized features. Additionally, it supports identity management as a default feature, making it a natural fit for the metaverse. While there are several DNS alternatives based on the blockchain, they either manage only a single type of identifiers or isolate identities from other sorts of identifiers, making it difficult for sub-metaverses to coexist and connect with each other. This paper proposes a Multi-Identifier management and resolution System (MIS) in the metaverse, supporting the registration, resolution, and inter-translation functions. The basic MIS is portrayed as a four-tier architecture on a consortium blockchain due to its manageability, enhanced security, and efficiency properties. On-chain data is lightweight and compressed to save on storage while accelerating reading and writing operations. The resource data is encrypted based on the attributes of the sub-metaverse in the storage tier for privacy protection and access control. For users with decentralization priorities, a modification named EMIS is built on top of Ethereum. Finally, MIS is implemented on two testbeds and is available online as the open-source system. The first testbed consists of 4 physical servers located in the UK and Malaysia while the second is made up of 200 virtual machines (VMs) spread over 26 countries across all 5 continents on Google Cloud.",10.48550/arXiv.2301.03529v2,http://arxiv.org/abs/2301.03529v2,arxiv,arxiv,INCLUDE,full_criteria_match
