study_id,year,tier,interop_pattern,platform_stack,domain
ST-0340,2025,A,none mentioned,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education
ST-0342,2025,C,none mentioned,not specified,identity; IoT/edge
ST-0343,2025,D,none mentioned,not specified,IoT/edge
ST-0345,2025,C,none mentioned,not specified,government/public sector; IoT/edge
ST-0347,2025,B,cross-chain bridge,not specified,finance/banking; identity; education
ST-0348,2025,C,none mentioned,not specified,finance/banking; government/public sector; identity; IoT/edge
ST-0349,2025,B,none mentioned,not specified,supply chain; government/public sector; IoT/edge
ST-0350,2025,A,none mentioned,Hyperledger Fabric; Corda,finance/banking; government/public sector
ST-0351,2025,C,none mentioned,not specified,supply chain; government/public sector; IoT/edge
ST-0352,2025,D,none mentioned,not specified,finance/banking; IoT/edge
ST-0363,2025,C,none mentioned,Hyperledger Fabric,healthcare; IoT/edge
ST-0364,2025,A,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0366,2025,C,none mentioned,Ethereum,healthcare
ST-0367,2025,A,none mentioned,Ethereum,healthcare; supply chain; government/public sector; identity
ST-0372,2024,C,none mentioned,not specified,supply chain; government/public sector
ST-0373,2024,B,oracle,Hyperledger Fabric; Corda; Ethereum; IOTA; Bitcoin; Multichain,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0374,2024,C,none mentioned,not specified,healthcare; IoT/edge
ST-0375,2024,D,none mentioned,not specified,healthcare; identity; IoT/edge
ST-0377,2024,C,none mentioned,not specified,supply chain; IoT/edge
ST-0381,2024,B,none mentioned,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0388,2024,B,cross-chain bridge,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI
ST-0390,2024,B,cross-chain bridge,Hyperledger Fabric; Corda; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education
ST-0390,2024,B,oracle,Hyperledger Fabric; Corda; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education
ST-0390,2024,B,message queue/broker,Hyperledger Fabric; Corda; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education
ST-0393,2024,B,none mentioned,Ethereum,healthcare
ST-0398,2024,B,none mentioned,Quorum; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0403,2024,B,none mentioned,Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0405,2024,C,none mentioned,not specified,supply chain; IoT/edge
ST-0408,2024,B,none mentioned,Ethereum,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0409,2024,B,oracle,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; agriculture
ST-0413,2024,B,none mentioned,Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture
ST-0419,2024,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0424,2024,C,none mentioned,not specified,IoT/edge
ST-0426,2024,D,none mentioned,not specified,healthcare
ST-0427,2024,A,none mentioned,Hyperledger Fabric; Hyperledger Besu; Ethereum; IOTA; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0428,2024,C,none mentioned,not specified,energy/utilities
ST-0429,2024,B,none mentioned,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0431,2024,C,none mentioned,not specified,government/public sector; IoT/edge
ST-0432,2024,B,none mentioned,Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0433,2024,B,none mentioned,Ethereum; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture
ST-0434,2024,B,API gateway,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility
ST-0436,2024,B,none mentioned,Hyperledger Besu; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; transportation/mobility
ST-0437,2024,C,none mentioned,not specified,IoT/edge
ST-0446,2024,B,cross-chain bridge,Ethereum; Polkadot/Substrate; Cosmos/Tendermint; Bitcoin; Multichain,finance/banking; supply chain; government/public sector; identity/PKI; transportation/mobility
ST-0446,2024,B,relay/notary,Ethereum; Polkadot/Substrate; Cosmos/Tendermint; Bitcoin; Multichain,finance/banking; supply chain; government/public sector; identity/PKI; transportation/mobility
ST-0446,2024,B,sidechain,Ethereum; Polkadot/Substrate; Cosmos/Tendermint; Bitcoin; Multichain,finance/banking; supply chain; government/public sector; identity/PKI; transportation/mobility
ST-0451,2024,B,none mentioned,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture
ST-0452,2024,C,none mentioned,not specified,finance/banking; IoT/edge
ST-0456,2024,D,none mentioned,not specified,unclassified
ST-0458,2024,C,none mentioned,not specified,healthcare; IoT/edge
ST-0459,2024,B,none mentioned,not specified,healthcare; IoT/edge
ST-0460,2023,B,none mentioned,not specified,healthcare; government/public sector; energy/utilities; IoT/edge
ST-0461,2023,C,none mentioned,not specified,government/public sector; energy/utilities
ST-0463,2023,C,none mentioned,not specified,finance/banking; government/public sector
ST-0466,2023,C,none mentioned,not specified,government/public sector; IoT/edge
ST-0468,2023,C,none mentioned,not specified,healthcare
ST-0470,2023,B,none mentioned,not specified,healthcare; IoT/edge
ST-0471,2023,C,none mentioned,not specified,healthcare; IoT/edge
ST-0473,2023,B,none mentioned,Bitcoin,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI
ST-0475,2023,C,none mentioned,not specified,unclassified
ST-0484,2023,C,none mentioned,not specified,supply chain; energy/utilities
ST-0487,2023,C,none mentioned,not specified,IoT/edge
ST-0492,2023,C,cross-chain bridge,Ethereum,unclassified
ST-0492,2023,C,HTLC,Ethereum,unclassified
ST-0496,2023,C,none mentioned,Hyperledger Besu; Ethereum,IoT/edge
ST-0498,2023,D,none mentioned,not specified,IoT/edge
ST-0499,2023,B,none mentioned,Hyperledger Fabric; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education; transportation/mobility
ST-0502,2023,B,none mentioned,Ethereum,healthcare; supply chain; IoT/edge
ST-0503,2023,C,none mentioned,not specified,supply chain; government/public sector; identity; IoT/edge; education
ST-0505,2023,C,none mentioned,not specified,unclassified
ST-0506,2023,B,cross-chain bridge,not specified,unclassified
ST-0515,2023,C,cross-chain bridge,not specified,supply chain
ST-0521,2023,B,API gateway,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0525,2023,C,none mentioned,not specified,healthcare; IoT/edge
ST-0527,2023,C,none mentioned,not specified,unclassified
ST-0530,2023,C,none mentioned,not specified,healthcare; finance/banking; supply chain; energy/utilities; IoT/edge
ST-0531,2023,C,none mentioned,not specified,supply chain
ST-0537,2023,B,none mentioned,Hyperledger Fabric,IoT/edge
ST-0539,2023,D,none mentioned,not specified,IoT/edge
ST-0544,2023,C,none mentioned,not specified,healthcare; IoT/edge
ST-0545,2023,B,none mentioned,Corda; Ethereum,finance/banking; energy/utilities; IoT/edge
ST-0548,2023,C,none mentioned,Hyperledger Fabric,IoT/edge; education
ST-0553,2023,B,cross-chain bridge,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education
ST-0553,2023,B,oracle,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education
ST-0554,2023,D,none mentioned,not specified,healthcare
ST-0556,2023,C,none mentioned,not specified,unclassified
ST-0557,2023,D,none mentioned,not specified,unclassified
ST-0565,2023,C,cross-chain bridge,not specified,unclassified
ST-0566,2023,A,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0568,2023,C,none mentioned,not specified,unclassified
ST-0569,2023,B,none mentioned,Ethereum,education
ST-0577,2023,D,none mentioned,not specified,healthcare; supply chain
ST-0579,2022,C,none mentioned,not specified,healthcare; government/public sector; education
ST-0580,2022,C,none mentioned,not specified,government/public sector
ST-0582,2022,A,oracle,Hyperledger Fabric; Corda; Ethereum; IOTA; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0582,2022,A,message queue/broker,Hyperledger Fabric; Corda; Ethereum; IOTA; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0586,2022,C,none mentioned,not specified,supply chain; government/public sector; IoT/edge
ST-0587,2022,C,none mentioned,not specified,healthcare; IoT/edge
ST-0588,2022,D,none mentioned,not specified,healthcare; supply chain; government/public sector; education
ST-0596,2022,B,none mentioned,Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0598,2022,B,none mentioned,Quorum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility
ST-0612,2022,B,none mentioned,not specified,healthcare; education
ST-0613,2022,A,message queue/broker,Hyperledger Fabric; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0615,2022,A,cross-chain bridge,Hyperledger Fabric; Hyperledger Sawtooth; Ethereum; Bitcoin,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0617,2022,C,none mentioned,not specified,healthcare; finance/banking; government/public sector
ST-0623,2022,C,none mentioned,not specified,healthcare
ST-0628,2022,B,none mentioned,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; agriculture
ST-0633,2022,B,none mentioned,not specified,healthcare; identity; education
ST-0636,2022,C,none mentioned,not specified,healthcare
ST-0642,2022,A,none mentioned,not specified,healthcare; IoT/edge
ST-0646,2022,C,none mentioned,Hyperledger Fabric,healthcare; IoT/edge
ST-0653,2022,B,none mentioned,Hyperledger Fabric; Ethereum; Cosmos/Tendermint; IOTA,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0654,2022,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0666,2022,C,relay/notary,not specified,finance/banking; supply chain; IoT/edge
ST-0667,2022,C,none mentioned,Hyperledger Fabric,IoT/edge
ST-0668,2022,C,none mentioned,Hyperledger Fabric; Hyperledger Sawtooth,IoT/edge
ST-0673,2022,C,none mentioned,not specified,healthcare; supply chain; IoT/edge
ST-0675,2022,C,none mentioned,Hyperledger Fabric,supply chain; IoT/edge
ST-0676,2022,C,none mentioned,not specified,energy/utilities; IoT/edge
ST-0678,2022,C,none mentioned,not specified,unclassified
ST-0679,2022,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0693,2022,C,none mentioned,not specified,energy/utilities; IoT/edge
ST-0698,2022,B,none mentioned,Quorum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0699,2022,B,oracle,not specified,healthcare; finance/banking; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0701,2022,C,none mentioned,not specified,IoT/edge
ST-0702,2022,D,none mentioned,not specified,IoT/edge
ST-0704,2022,C,none mentioned,Hyperledger Fabric,IoT/edge
ST-0705,2022,D,none mentioned,not specified,IoT/edge
ST-0706,2021,D,none mentioned,not specified,government/public sector
ST-0711,2021,A,oracle,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture
ST-0713,2021,C,none mentioned,not specified,government/public sector; energy/utilities; identity; IoT/edge
ST-0715,2021,D,none mentioned,not specified,IoT/edge
ST-0720,2021,B,oracle,Ethereum; Bitcoin,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education
ST-0725,2021,B,API gateway,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0728,2021,B,none mentioned,Hyperledger Fabric; Corda; Ethereum; Stellar; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0732,2021,B,none mentioned,not specified,supply chain; IoT/edge
ST-0733,2021,B,cross-chain bridge,Ethereum,healthcare
ST-0736,2021,C,none mentioned,not specified,energy/utilities; IoT/edge
ST-0750,2021,B,none mentioned,Ethereum,healthcare; finance/banking; energy/utilities; IoT/edge; education
ST-0751,2021,D,none mentioned,not specified,supply chain
ST-0753,2021,B,none mentioned,Ethereum,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0755,2021,B,none mentioned,Hyperledger Fabric,IoT/edge
ST-0763,2021,D,none mentioned,not specified,healthcare
ST-0764,2021,C,none mentioned,Hyperledger Fabric,finance/banking; IoT/edge
ST-0767,2021,C,none mentioned,Ethereum,healthcare; supply chain
ST-0768,2021,B,API gateway,Hyperledger Fabric; Hyperledger Sawtooth; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS
ST-0768,2021,B,message queue/broker,Hyperledger Fabric; Hyperledger Sawtooth; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS
ST-0771,2021,B,none mentioned,not specified,healthcare
ST-0774,2021,C,none mentioned,not specified,healthcare
ST-0777,2021,B,none mentioned,not specified,healthcare; IoT/edge
ST-0779,2021,C,none mentioned,not specified,supply chain
ST-0783,2021,B,none mentioned,not specified,supply chain; IoT/edge
ST-0786,2021,C,cross-chain bridge,not specified,IoT/edge
ST-0787,2021,B,none mentioned,not specified,healthcare; finance/banking; supply chain; IoT/edge
ST-0789,2021,B,none mentioned,not specified,healthcare; government/public sector; education
ST-0790,2021,C,none mentioned,not specified,healthcare; finance/banking; supply chain; energy/utilities
ST-0792,2021,C,none mentioned,not specified,healthcare
ST-0793,2021,C,none mentioned,not specified,healthcare; IoT/edge
ST-0794,2021,A,none mentioned,Hyperledger Fabric; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0795,2021,C,none mentioned,Hyperledger Fabric,supply chain; IoT/edge
ST-0796,2021,B,cross-chain bridge,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0796,2021,B,relay/notary,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0796,2021,B,HTLC,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0796,2021,B,interledger/IBC,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0796,2021,B,sidechain,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0797,2021,B,message queue/broker,Hyperledger Fabric; Hyperledger Besu; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education
ST-0798,2021,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,finance/banking; supply chain; government/public sector; IoT/edge/CPS
ST-0801,2021,C,none mentioned,not specified,unclassified
ST-0804,2021,B,none mentioned,Hyperledger Fabric,healthcare; supply chain; IoT/edge
ST-0811,2021,A,none mentioned,not specified,supply chain; government/public sector; identity; IoT/edge
ST-0813,2021,C,none mentioned,not specified,supply chain; government/public sector
ST-0814,2021,B,none mentioned,Hyperledger Fabric; Quorum; Ethereum; IOTA; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; IoT/edge/CPS; education; transportation/mobility
