candidate_id,title,authors,year,venue,doi,url,source,source_set,title_abstract_decision,title_abstract_reason,fulltext_status,fulltext_decision,fulltext_exclusion_reason_code,fulltext_exclusion_reason_detail,reviewer_1,reviewer_2,conflict_status,final_decision,pdf_collected,pdf_path_or_link,notes
FT-0011,Permissioned Blockchain in Advanced Air Mobility: A Performance Analysis for UTM,Rodrigo Nunes; André Melo; Rafael Albarello; Reinaldo Gomes; Cesar Marcondes; Lourenço Pereira,2025,arXiv,10.48550/arXiv.2511.02171v2,http://arxiv.org/abs/2511.02171v2,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2511.02171v2.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0012,Auditable Ledger Snapshot for Non-Repudiable Cross-Blockchain Communication,Tirthankar Sengupta; Bishakh Chandra Ghosh; Sandip Chakraborty; Shamik Sural,2025,arXiv,10.48550/arXiv.2511.16560v1,http://arxiv.org/abs/2511.16560v1,arxiv,arxiv,INCLUDE,tech_strategy_evidence,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2511.16560v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0013,Q-PnV: A Quantum Consensus Mechanism for Security Consortium Blockchains,Jianming Lin; Hui Li; Hongjian Xing; Runhuai Huang; Weixiang Huang; Shaowen Deng; Yanping Zhang; Weimin Zeng; Ping Lu; Xiyu Wang; Tao Sun; Xiongyan Tang,2024,arXiv,10.48550/arXiv.2412.06325v1,http://arxiv.org/abs/2412.06325v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2412.06325v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0014,A Blockchain-Enabled Framework of UAV Coordination for Post-Disaster Networks,Sana Hafeez; Runze Cheng; Lina Mohjazi; Muhammad Ali Imran; Yao Sun,2024,arXiv,10.48550/arXiv.2402.15331v1,http://arxiv.org/abs/2402.15331v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2402.15331v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0015,Blockchain-Enhanced UAV Networks for Post-Disaster Communication: A Decentralized Flocking Approach,Sana Hafeez; Runze Cheng; Lina Mohjazi; Yao Sun; Muhammad Ali Imran,2024,arXiv,10.48550/arXiv.2403.04796v1,http://arxiv.org/abs/2403.04796v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2403.04796v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0016,DBNode: A Decentralized Storage System for Big Data Storage in Consortium Blockchains,Narges Dadkhah; Xuyang Ma; Katinka Wolter; Gerhard Wunder,2024,arXiv,10.48550/arXiv.2409.20123v1,http://arxiv.org/abs/2409.20123v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2409.20123v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0017,6GENABLERS-DLT: DLT-based Marketplace for Decentralized Trading of 6G Telco resources,Adriana Fernández-Fernández; Angel Martin; Guillermo Gomez,2024,arXiv,10.48550/arXiv.2412.14977v1,http://arxiv.org/abs/2412.14977v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2412.14977v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0018,SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,Mehrzad Mohammadi; Reza Javan; Mohammad Beheshti-Atashgah; Mohammad Reza Aref,2024,arXiv,10.48550/arXiv.2403.08068v1,http://arxiv.org/abs/2403.08068v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2403.08068v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0019,Blockchain in Healthcare: Implementing Hyperledger Fabric for Electronic Health Records at Frere Provincial Hospital,Abayomi Agbeyangi; Olukayode Oki; Aphelele Mgidi,2024,arXiv,10.48550/arXiv.2407.15876v1,http://arxiv.org/abs/2407.15876v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2407.15876v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0020,Straggler Mitigation and Latency Optimization in Blockchain-based Hierarchical Federated Learning,Zhilin Wang; Qin Hu; Minghui Xu; Zeihui Xiong,2023,arXiv,10.48550/arXiv.2308.01296v1,http://arxiv.org/abs/2308.01296v1,arxiv,arxiv;openalex,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2308.01296v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0021,EduChain: A Blockchain-based Education Data Management System,Yihan Liu; Ke Li; Zihao Huang; Bowen Li; Guiyan Wang; Wei Cai,2023,arXiv,10.48550/arXiv.2306.00553v1,http://arxiv.org/abs/2306.00553v1,arxiv,arxiv,UNCERTAIN,generic_blockchain_institutional,agent-finalised,include,,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",agent-fulltext-review,,pending-author-check,include,yes,data/fulltext/ambiguous/UT-0006-educhain-a-blockchain-based-education-data-management-system.pdf,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence. | finalised:accessible_review_include"
FT-0022,MIS: A Multi-Identifier Management and Resolution System Based on Consortium Blockchain in Metaverse,Han Wang; Hui Li; Abla Smahi; Feng Zhao; Yao Yao; Ching Chuen Chan; Shiyu Wang; Wenyuan Yang; Shuo-Yen Robert Li,2023,arXiv,10.48550/arXiv.2301.03529v2,http://arxiv.org/abs/2301.03529v2,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2301.03529v2.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0023,Exploration of Hyperledger Besu in Designing Private Blockchain-based Financial Distribution Systems,Md. Raisul Hasan Shahrukh; Md. Tabassinur Rahman; Nafees Mansoor,2023,arXiv,10.48550/arXiv.2311.08483v1,http://arxiv.org/abs/2311.08483v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2311.08483v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0024,"DocCert: Nostrification, Document Verification and Authenticity Blockchain Solution",Monther Aldwairi; Mohamad Badra; Rouba Borghol,2023,arXiv,10.48550/arXiv.2310.09136v1,http://arxiv.org/abs/2310.09136v1,arxiv,arxiv;openalex,UNCERTAIN,tech_with_weak_signal,agent-finalised,include,,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",agent-fulltext-review,,pending-author-check,include,yes,data/fulltext/ambiguous/UT-0007-doccert-nostrification-document-verification-and-authenticity-blockchain-solutio.pdf,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence. | finalised:accessible_review_include"
FT-0025,Blockchain-based Decentralized Identity Management for Healthcare Systems,Arnaf Aziz Torongo; Mohsen Toorani,2023,arXiv,10.48550/arXiv.2307.16239v1,http://arxiv.org/abs/2307.16239v1,arxiv,arxiv;openalex,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2307.16239v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0026,APPFLChain: A Privacy Protection Distributed Artificial-Intelligence Architecture Based on Federated Learning and Consortium Blockchain,Jun-Teng Yang; Wen-Yuan Chen; Che-Hua Li; Scott C. -H. Huang; Hsiao-Chun Wu,2022,arXiv,10.48550/arXiv.2206.12790v2,http://arxiv.org/abs/2206.12790v2,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2206.12790v2.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0027,Secure Decentralized IoT Service Platform using Consortium Blockchain,Ruipeng Zhang; Chen Xu; Mengjun Xie,2022,arXiv,10.48550/arXiv.2209.12145v1,http://arxiv.org/abs/2209.12145v1,arxiv,arxiv;openalex,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2209.12145v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0028,Multisecret-sharing scheme with two-level security and its applications in Blockchain,R. K. Sharma; Ritumoni Sarma; Neha Arora; Vidya Sagar,2022,arXiv,10.48550/arXiv.2209.03670v1,http://arxiv.org/abs/2209.03670v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2209.03670v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0029,NSSIA: A New Self-Sovereign Identity Scheme with Accountability,Qiuyun Lyu; Shaopeng Cheng; Hao Li; Junliang Liu; Yanzhao Shen; Zhen Wang,2022,arXiv,10.48550/arXiv.2206.04911v1,http://arxiv.org/abs/2206.04911v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2206.04911v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0030,A Consensus Algorithm Based on Risk Assessment Model for Permissioned Blockchain,Xiaohui Zhang; Mingying Xue; Xianghua Miao,2022,arXiv,10.48550/arXiv.2207.07453v1,http://arxiv.org/abs/2207.07453v1,arxiv,arxiv;openalex,INCLUDE,tech_strategy_evidence,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2207.07453v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0031,ScaleSFL: A Sharding Solution for Blockchain-Based Federated Learning,Evan Madill; Ben Nguyen; Carson K. Leung; Sara Rouhani,2022,arXiv,10.48550/arXiv.2204.01202v1,http://arxiv.org/abs/2204.01202v1,arxiv,arxiv,INCLUDE,tech_strategy_evidence,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2204.01202v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0032,Atomic cross-chain exchanges of shared assets,Krishnasuri Narayanam; Venkatraman Ramakrishna; Dhinakaran Vinayagamurthy; Sandeep Nishad,2022,arXiv,10.48550/arXiv.2202.12855v3,http://arxiv.org/abs/2202.12855v3,arxiv,arxiv,INCLUDE,tech_strategy_evidence,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2202.12855v3.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0033,SoK: A Taxonomy for Critical Analysis of Consensus Mechanisms in Consortium Blockchain,Wei Yao; Fadi P. Deek; Renita Murimi; Guiling Wang,2021,arXiv,10.48550/arXiv.2102.12058v3,http://arxiv.org/abs/2102.12058v3,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2102.12058v3.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0034,A Reputation-based Approach using Consortium Blockchain for Cyber Threat Intelligence Sharing,Zhang Xiaohui; Miao Xianghua,2021,arXiv,10.48550/arXiv.2107.06662v1,http://arxiv.org/abs/2107.06662v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2107.06662v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0035,Blockchain and Federated Edge Learning for Privacy-Preserving Mobile Crowdsensing,Qin Hu; Zhilin Wang; Minghui Xu; Xiuzhen Cheng,2021,arXiv,10.48550/arXiv.2110.08671v1,http://arxiv.org/abs/2110.08671v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2110.08671v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0036,Efficient and Privacy-Preserving Infection Control System for Covid-19-Like Pandemics using Blockchain,Seham A. Alansar; Mahmoud M. Badr; Mohamed Mahmoud; Waleed Alasmary,2021,arXiv,10.48550/arXiv.2104.02263v1,http://arxiv.org/abs/2104.02263v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2104.02263v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0037,PrivChain: Provenance and Privacy Preservation in Blockchain enabled Supply Chains,Sidra Malik; Volkan Dedeoglu; Salil Kanhere; Raja Jurdak,2021,arXiv,10.48550/arXiv.2104.13964v1,http://arxiv.org/abs/2104.13964v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2104.13964v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0038,MITOSIS: Practically Scaling Permissioned Blockchains,Giorgia Azzurra Marson; Sebastien Andreina; Lorenzo Alluminio; Konstantin Munichev; Ghassan Karame,2021,arXiv,10.48550/arXiv.2109.10302v1,http://arxiv.org/abs/2109.10302v1,arxiv,arxiv,INCLUDE,tech_strategy_evidence,agent-finalised,include,,Implementation and evaluation detail with at least one credible institutional/interoperability signal.,agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2109.10302v1.pdf,firstpass_fulltext_agent (medium): Implementation and evaluation detail with at least one credible institutional/interoperability signal.
FT-0039,Decentralized Cross-Network Identity Management for Blockchain Interoperation,Bishakh Chandra Ghosh; Venkatraman Ramakrishna; Chander Govindarajan; Dushyant Behl; Dileban Karunamoorthy; Ermyas Abebe; Sandip Chakraborty,2021,arXiv,10.48550/arXiv.2104.03277v1,http://arxiv.org/abs/2104.03277v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2104.03277v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0040,A Pub-Sub Architecture to Promote Blockchain Interoperability,Sara Ghaemi; Sara Rouhani; Rafael Belchior; Rui S. Cruz; Hamzeh Khazaei; Petr Musilek,2021,arXiv,10.48550/arXiv.2101.12331v1,http://arxiv.org/abs/2101.12331v1,arxiv,arxiv;openalex,INCLUDE,tech_strategy_evidence,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2101.12331v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0041,An Empirical Analysis of Implementing Enterprise Blockchain Protocols in Supply Chain Anti-Counterfeiting and Traceability,Neo C. K. Yiu,2021,arXiv,10.48550/arXiv.2102.02601v1,http://arxiv.org/abs/2102.02601v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2102.02601v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0042,BlockJack: Towards Improved Prevention of IP Prefix Hijacking Attacks in Inter-Domain Routing Via Blockchain,I Wayan Budi Sentana; Muhammad Ikram; Mohamed Ali Kaafar,2021,arXiv,10.48550/arXiv.2107.07063v1,http://arxiv.org/abs/2107.07063v1,arxiv,arxiv;openalex,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2107.07063v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0043,Towards Automated Benchmark Support for Multi-Blockchain Interoperability-Facilitating Platforms,Mostafa Kazemi; Abbas Yazdinejad,2021,arXiv,10.48550/arXiv.2103.03866v1,http://arxiv.org/abs/2103.03866v1,arxiv,arxiv,INCLUDE,tech_strategy_evidence,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2103.03866v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0044,Leveraging Public-Private Blockchain Interoperability for Closed Consortium Interfacing,Bishakh Chandra Ghosh; Tanay Bhartia; Sourav Kanti Addya; Sandip Chakraborty,2021,arXiv,10.48550/arXiv.2104.09801v1,http://arxiv.org/abs/2104.09801v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2104.09801v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
