study_id,title,authors,year,venue,doi,url,source,domain,institutional_setting,platform_stack,network_model,node_roles,consensus_strategy,finality_model,governance_model,access_control_model,privacy_mechanism,interoperability_strategy,smart_contract_support,workload_description,evaluation_setup,metrics_reported,throughput,latency,fault_tolerance,privacy_overhead,operational_complexity_notes,artifact_code_available,artifact_data_available,artifact_config_available,reproducibility_notes,quality_construct_validity,quality_internal_validity,quality_external_validity,quality_reproducibility,review_notes
ST-0013,Q-PnV: A Quantum Consensus Mechanism for Security Consortium Blockchains,Jianming Lin; Hui Li; Hongjian Xing; Runhuai Huang; Weixiang Huang; Shaowen Deng; Yanping Zhang; Weimin Zeng; Ping Lu; Xiyu Wang; Tao Sun; Xiongyan Tang,2024,arXiv,10.48550/arXiv.2412.06325v1,http://arxiv.org/abs/2412.06325v1,arxiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0014,A Blockchain-Enabled Framework of UAV Coordination for Post-Disaster Networks,Sana Hafeez; Runze Cheng; Lina Mohjazi; Muhammad Ali Imran; Yao Sun,2024,arXiv,10.48550/arXiv.2402.15331v1,http://arxiv.org/abs/2402.15331v1,arxiv,,,,,,"[auto] PBFT, PoS",,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=D score=1; auto-fills are abstract-only hints, verify against full text."
ST-0015,Blockchain-Enhanced UAV Networks for Post-Disaster Communication: A Decentralized Flocking Approach,Sana Hafeez; Runze Cheng; Lina Mohjazi; Yao Sun; Muhammad Ali Imran,2024,arXiv,10.48550/arXiv.2403.04796v1,http://arxiv.org/abs/2403.04796v1,arxiv,,,,,,"[auto] PBFT, PoS",,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0016,DBNode: A Decentralized Storage System for Big Data Storage in Consortium Blockchains,Narges Dadkhah; Xuyang Ma; Katinka Wolter; Gerhard Wunder,2024,arXiv,10.48550/arXiv.2409.20123v1,http://arxiv.org/abs/2409.20123v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0017,6GENABLERS-DLT: DLT-based Marketplace for Decentralized Trading of 6G Telco resources,Adriana Fernández-Fernández; Angel Martin; Guillermo Gomez,2024,arXiv,10.48550/arXiv.2412.14977v1,http://arxiv.org/abs/2412.14977v1,arxiv,"[auto] government/public sector, IoT/edge",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0018,SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,Mehrzad Mohammadi; Reza Javan; Mohammad Beheshti-Atashgah; Mohammad Reza Aref,2024,arXiv,10.48550/arXiv.2403.08068v1,http://arxiv.org/abs/2403.08068v1,arxiv,"[auto] healthcare, finance/banking, IoT/edge",,"[auto] Hyperledger Fabric, Ethereum",,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=A score=6; auto-fills are abstract-only hints, verify against full text."
ST-0019,Blockchain in Healthcare: Implementing Hyperledger Fabric for Electronic Health Records at Frere Provincial Hospital,Abayomi Agbeyangi; Olukayode Oki; Aphelele Mgidi,2024,arXiv,10.48550/arXiv.2407.15876v1,http://arxiv.org/abs/2407.15876v1,arxiv,"[auto] healthcare, IoT/edge",,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0020,Straggler Mitigation and Latency Optimization in Blockchain-based Hierarchical Federated Learning,Zhilin Wang; Qin Hu; Minghui Xu; Zeihui Xiong,2023,arXiv,10.48550/arXiv.2308.01296v1,http://arxiv.org/abs/2308.01296v1,arxiv,[auto] IoT/edge,,,,,[auto] RAFT,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0021,EduChain: A Blockchain-based Education Data Management System,Yihan Liu; Ke Li; Zihao Huang; Bowen Li; Guiyan Wang; Wei Cai,2023,arXiv,10.48550/arXiv.2306.00553v1,http://arxiv.org/abs/2306.00553v1,arxiv,"[auto] IoT/edge, education",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0022,MIS: A Multi-Identifier Management and Resolution System Based on Consortium Blockchain in Metaverse,Han Wang; Hui Li; Abla Smahi; Feng Zhao; Yao Yao; Ching Chuen Chan; Shiyu Wang; Wenyuan Yang; Shuo-Yen Robert Li,2023,arXiv,10.48550/arXiv.2301.03529v2,http://arxiv.org/abs/2301.03529v2,arxiv,[auto] identity,,[auto] Ethereum,,,,,,,,,,,,,,,,,,[auto] hinted,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0023,Exploration of Hyperledger Besu in Designing Private Blockchain-based Financial Distribution Systems,Md. Raisul Hasan Shahrukh; Md. Tabassinur Rahman; Nafees Mansoor,2023,arXiv,10.48550/arXiv.2311.08483v1,http://arxiv.org/abs/2311.08483v1,arxiv,"[auto] healthcare, finance/banking, supply chain, IoT/edge, education",,[auto] Hyperledger Besu,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0024,"DocCert: Nostrification, Document Verification and Authenticity Blockchain Solution",Monther Aldwairi; Mohamad Badra; Rouba Borghol,2023,arXiv,10.48550/arXiv.2310.09136v1,http://arxiv.org/abs/2310.09136v1,arxiv,"[auto] healthcare, finance/banking",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0025,Blockchain-based Decentralized Identity Management for Healthcare Systems,Arnaf Aziz Torongo; Mohsen Toorani,2023,arXiv,10.48550/arXiv.2307.16239v1,http://arxiv.org/abs/2307.16239v1,arxiv,"[auto] healthcare, identity, IoT/edge, education",,,,,,,,,[auto] zero-knowledge,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0026,APPFLChain: A Privacy Protection Distributed Artificial-Intelligence Architecture Based on Federated Learning and Consortium Blockchain,Jun-Teng Yang; Wen-Yuan Chen; Che-Hua Li; Scott C. -H. Huang; Hsiao-Chun Wu,2022,arXiv,10.48550/arXiv.2206.12790v2,http://arxiv.org/abs/2206.12790v2,arxiv,"[auto] supply chain, IoT/edge",,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0027,Secure Decentralized IoT Service Platform using Consortium Blockchain,Ruipeng Zhang; Chen Xu; Mengjun Xie,2022,arXiv,10.48550/arXiv.2209.12145v1,http://arxiv.org/abs/2209.12145v1,arxiv,[auto] IoT/edge,,,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0028,Multisecret-sharing scheme with two-level security and its applications in Blockchain,R. K. Sharma; Ritumoni Sarma; Neha Arora; Vidya Sagar,2022,arXiv,10.48550/arXiv.2209.03670v1,http://arxiv.org/abs/2209.03670v1,arxiv,,,,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=D score=1; auto-fills are abstract-only hints, verify against full text."
ST-0029,NSSIA: A New Self-Sovereign Identity Scheme with Accountability,Qiuyun Lyu; Shaopeng Cheng; Hao Li; Junliang Liu; Yanzhao Shen; Zhen Wang,2022,arXiv,10.48550/arXiv.2206.04911v1,http://arxiv.org/abs/2206.04911v1,arxiv,[auto] identity,,,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0030,A Consensus Algorithm Based on Risk Assessment Model for Permissioned Blockchain,Xiaohui Zhang; Mingying Xue; Xianghua Miao,2022,arXiv,10.48550/arXiv.2207.07453v1,http://arxiv.org/abs/2207.07453v1,arxiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0031,ScaleSFL: A Sharding Solution for Blockchain-Based Federated Learning,Evan Madill; Ben Nguyen; Carson K. Leung; Sara Rouhani,2022,arXiv,10.48550/arXiv.2204.01202v1,http://arxiv.org/abs/2204.01202v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0032,Atomic cross-chain exchanges of shared assets,Krishnasuri Narayanam; Venkatraman Ramakrishna; Dhinakaran Vinayagamurthy; Sandeep Nishad,2022,arXiv,10.48550/arXiv.2202.12855v3,http://arxiv.org/abs/2202.12855v3,arxiv,[auto] IoT/edge,,"[auto] Hyperledger Fabric, Corda",,,,,,,,"[auto] cross-chain bridge, HTLC",,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0033,SoK: A Taxonomy for Critical Analysis of Consensus Mechanisms in Consortium Blockchain,Wei Yao; Fadi P. Deek; Renita Murimi; Guiling Wang,2021,arXiv,10.48550/arXiv.2102.12058v3,http://arxiv.org/abs/2102.12058v3,arxiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=D score=1; auto-fills are abstract-only hints, verify against full text."
ST-0034,A Reputation-based Approach using Consortium Blockchain for Cyber Threat Intelligence Sharing,Zhang Xiaohui; Miao Xianghua,2021,arXiv,10.48550/arXiv.2107.06662v1,http://arxiv.org/abs/2107.06662v1,arxiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0035,Blockchain and Federated Edge Learning for Privacy-Preserving Mobile Crowdsensing,Qin Hu; Zhilin Wang; Minghui Xu; Xiuzhen Cheng,2021,arXiv,10.48550/arXiv.2110.08671v1,http://arxiv.org/abs/2110.08671v1,arxiv,"[auto] finance/banking, IoT/edge",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0036,Efficient and Privacy-Preserving Infection Control System for Covid-19-Like Pandemics using Blockchain,Seham A. Alansar; Mahmoud M. Badr; Mohamed Mahmoud; Waleed Alasmary,2021,arXiv,10.48550/arXiv.2104.02263v1,http://arxiv.org/abs/2104.02263v1,arxiv,[auto] healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0037,PrivChain: Provenance and Privacy Preservation in Blockchain enabled Supply Chains,Sidra Malik; Volkan Dedeoglu; Salil Kanhere; Raja Jurdak,2021,arXiv,10.48550/arXiv.2104.13964v1,http://arxiv.org/abs/2104.13964v1,arxiv,"[auto] finance/banking, supply chain, IoT/edge",,[auto] Hyperledger Fabric,,,,,,,[auto] zero-knowledge,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0038,MITOSIS: Practically Scaling Permissioned Blockchains,Giorgia Azzurra Marson; Sebastien Andreina; Lorenzo Alluminio; Konstantin Munichev; Ghassan Karame,2021,arXiv,10.48550/arXiv.2109.10302v1,http://arxiv.org/abs/2109.10302v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0039,Decentralized Cross-Network Identity Management for Blockchain Interoperation,Bishakh Chandra Ghosh; Venkatraman Ramakrishna; Chander Govindarajan; Dushyant Behl; Dileban Karunamoorthy; Ermyas Abebe; Sandip Chakraborty,2021,arXiv,10.48550/arXiv.2104.03277v1,http://arxiv.org/abs/2104.03277v1,arxiv,"[auto] finance/banking, supply chain, identity, IoT/edge, education",,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0040,A Pub-Sub Architecture to Promote Blockchain Interoperability,Sara Ghaemi; Sara Rouhani; Rafael Belchior; Rui S. Cruz; Hamzeh Khazaei; Petr Musilek,2021,arXiv,10.48550/arXiv.2101.12331v1,http://arxiv.org/abs/2101.12331v1,arxiv,[auto] IoT/edge,,"[auto] Hyperledger Fabric, Hyperledger Besu, Ethereum",,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0041,An Empirical Analysis of Implementing Enterprise Blockchain Protocols in Supply Chain Anti-Counterfeiting and Traceability,Neo C. K. Yiu,2021,arXiv,10.48550/arXiv.2102.02601v1,http://arxiv.org/abs/2102.02601v1,arxiv,"[auto] supply chain, government/public sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0042,BlockJack: Towards Improved Prevention of IP Prefix Hijacking Attacks in Inter-Domain Routing Via Blockchain,I Wayan Budi Sentana; Muhammad Ikram; Mohamed Ali Kaafar,2021,arXiv,10.48550/arXiv.2107.07063v1,http://arxiv.org/abs/2107.07063v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0043,Towards Automated Benchmark Support for Multi-Blockchain Interoperability-Facilitating Platforms,Mostafa Kazemi; Abbas Yazdinejad,2021,arXiv,10.48550/arXiv.2103.03866v1,http://arxiv.org/abs/2103.03866v1,arxiv,"[auto] government/public sector, IoT/edge",,"[auto] Hyperledger Fabric, Corda, Ethereum",,,,,,,,,,,,,,,,,,[auto] hinted,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0044,Leveraging Public-Private Blockchain Interoperability for Closed Consortium Interfacing,Bishakh Chandra Ghosh; Tanay Bhartia; Sourav Kanti Addya; Sandip Chakraborty,2021,arXiv,10.48550/arXiv.2104.09801v1,http://arxiv.org/abs/2104.09801v1,arxiv,"[auto] finance/banking, supply chain, IoT/edge",,"[auto] Hyperledger Fabric, Ethereum",,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0045,SPAD – A Secure and Privacy-Preserving Distributed Analytics Framework,I. Makhdoom; M. Abolhasan; J. Lipman; D. Franklin; M. Piccardi,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC64466.2025.11114453,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114453,ieee,[auto] IoT/edge,,,,,,,,,"[auto] homomorphic encryption, MPC/secure computation",,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0053,Public vs. Permissioned Blockchains for DAOs: Insights for Standardized Implementations,S. Maurya; T. Sato; S. Ito,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC64466.2025.11114668,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114668,ieee,"[auto] finance/banking, government/public sector, IoT/edge",,"[auto] Hyperledger Fabric, Ethereum",,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0055,HealChain: Enhancing Security and Accessibility of Medical Records through Blockchain Technology,B. Krivokapic; S. Tomovic; I. Radusinovic,2024,2024 32nd Telecommunications Forum (TELFOR),10.1109/TELFOR63250.2024.10819172,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819172,ieee,[auto] healthcare,,,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0060,CCPP: Cross-Chain Privacy-Preserving for CCLS With Lattice-Based Ring Signature,Y. Zhang; Y. Tang; C. Li; M. Dong; M. Huang; H. Zhang; K. Ota,2026,IEEE Internet of Things Journal,10.1109/JIOT.2026.3652166,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11343886,ieee,"[auto] supply chain, identity",,,,,,,,,,[auto] cross-chain bridge,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0067,The Use of Blockchain for Legislative Simplification and Tracking,M. Palmirani; C. Bomprezzi; L. Papalia,2025,2025 Eleventh International Conference on eDemocracy & eGovernment (ICEDEG),10.1109/ICEDEG65568.2025.11081571,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081571,ieee,[auto] supply chain,,,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=A score=6; auto-fills are abstract-only hints, verify against full text."
ST-0071,Smart GuardianChain: A Solution Based on Blockchain Technology for Ensuring Security of E-Health Records in a Smart Environment,V. Sharma; K. Aseri; R. R. Palle; A. Agrawal; K. Tallapneni; S. K. Jain,2024,2023 International Conference on Smart Devices (ICSD),10.1109/ICSD60021.2024.10751348,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10751348,ieee,[auto] healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0075,A Scalable Distributed Blockchain Framework for Secure Incident Reporting,R. B. Intud; R. G. Lumauag,2025,2025 International Conference on Intelligent Computing and Next Generation Networks (ICNGN),10.1109/ICNGN67480.2025.11413685,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413685,ieee,"[auto] government/public sector, energy/utilities, identity, IoT/edge, education",,,,,"[auto] PBFT, RAFT",,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=A score=7; auto-fills are abstract-only hints, verify against full text."
ST-0083,Experimental Possibilities of Decentralized Health Information System Interoperability Using Blockchain Technology,J. Manoharan; A. H. Ali; M. M. Aljohani; A. Soni; G. V; S. Upadhyay,2024,2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),10.1109/ICSCNA63714.2024.10863833,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863833,ieee,"[auto] healthcare, IoT/edge",,[auto] Ethereum,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=A score=7; auto-fills are abstract-only hints, verify against full text."
ST-0084,Credit Evaluation and Blockchain Consensus for Supply Chain,C. Cao; X. Zhu,2021,2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),10.1109/ICCCBDA51879.2021.9442494,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9442494,ieee,"[auto] finance/banking, supply chain",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0088,CyberHealth Blockchain-Enabled AI System for Securing and Sharing Patient Records in Multi-Hospital Environments,C. S. Kubam; B. R. Ande; N. Mukhi; G. Rayapati; K. K. Kondapalli,2025,2025 2nd International Conference on Electronic Circuits and Signaling Technologies (ICECST),10.1109/ICECST66106.2025.11307397,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11307397,ieee,[auto] healthcare,,,,,,,,,,,[auto] yes,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=5; auto-fills are abstract-only hints, verify against full text."
ST-0095,Operating ZKPs on Blockchain: A Performance Analysis Based on Hyperledger Fabric,R. Pan; Z. Shi; A. Belloum; Z. Zhao,2024,2024 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPS),10.1109/DAPPS61106.2024.00018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646455,ieee,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,[auto] zero-knowledge,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0097,Towards Citizen-Centric Services using Blockchain-Powered Digitalization of Public Sector Processes,S. I. Sion; K. Zhang; A. April,2023,2023 Fifth International Conference on Blockchain Computing and Applications (BCCA),10.1109/BCCA58897.2023.10338883,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10338883,ieee,[auto] government/public sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0098,Let the Blocks Fly (Flying Blocks): A Highly Efficient and Practical Consensus Protocol for Authoritative Blockchains,X. Fu; L. Feng; H. Wang; B. Ding; J. Fu,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3621228,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11202733,ieee,"[auto] government/public sector, IoT/edge",,,,,"[auto] BFT (general), RAFT, HotStuff",,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=A score=6; auto-fills are abstract-only hints, verify against full text."
ST-0099,Proposal for an integrative performance framework based on Distributed Ledger Technology dedicated to higher education students entering the labor market,W. Azan; P. Valiorgue; E. Peyrol; P. H. B. Hadid; Y. Li; L. F. M. Miranda,2022,2022 IEEE 6th International Conference on Logistics Operations Management (GOL),10.1109/GOL53975.2022.9820106,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9820106,ieee,"[auto] IoT/edge, education",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
